a52dec 0.7.4-10
aalib 1.4rc5-13
accountsservice 0.6.55-1
acl 2.2.53-2
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adwaita-icon-theme 3.34.3-1
alsa-lib 1.2.1.2-3
alsa-plugins 1.2.1-1
alsa-topology-conf 1.2.1-1
alsa-ucm-conf 1.2.1.2-1
aom 1.0.0.errata1-1
appstream-glib 0.7.16-2
archlinux-keyring 20200108-1
argon2 20190702-2
aribb24 1.0.3-2
asciidoc 8.6.10-1
aspell 0.60.8-1
at-spi2-atk 2.34.1-1
at-spi2-core 2.34.0-1
atk 2.34.1-1
atkmm 2.28.0-1
attica 5.66.0-1
attr 2.4.48-2
audacity 1:2.3.3-1
audit 2.8.5-6
autoconf 2.69-6
automake 1.16.1-2
avahi 0.7+18+g1b5f401-3
awesome-terminal-fonts 1.1.0-2
babl 0.1.74-1
base 2-2
bash 5.0.011-2
bc 1.07.1-3
beep 1.4.7-1
bind-tools 9.14.10-1
binutils 2.33.1-2
blas 3.9.0-2
bluez 5.52-2
bluez-libs 5.52-2
bochs 2.6.9-3
boost-libs 1.72.0-1
broadcom-wl 6.30.223.271-164
brotli 1.0.7-3
btrfs-progs 5.4-1
bubblewrap 0.4.0-1
bumblebee-status 1.9.0-1
bzip2 1.0.8-3
c-ares 1.15.0-1
ca-certificates 20181109-3
ca-certificates-mozilla 3.49.2-2
ca-certificates-utils 20181109-3
cairo 1.17.2+17+g52a7c79fd-2
cairomm 1.12.2-3
cantarell-fonts 1:0.201-1
cava 0.6.1-1
cdparanoia 10.2-7
celt0.5.1 0.5.1.3-4
chrome-remote-desktop 80.0.3987.18-1
chromium 79.0.3945.130-2
chromium-widevine 1:4.10.1582.1-1
cifs-utils 6.10-1
ckan-bin 1.26.6-1
clucene 2.3.3.4-10
cmake 3.16.3-1
cmatrix 2.0-1
coin-or-cbc 2.10.3-1
coin-or-cgl 0.60.2-1
coin-or-clp 1.17.3-1
coin-or-coinutils 2.11.3-1
coin-or-mp 1.8.4-1
coin-or-osi 0.108.5-1
colord 1.4.4+9+g1ce26da-1
confuse 3.2.2-1
cordless-git 2020.01.05-1
coreutils 8.31-3
cowsay 3.04-1
cracklib 2.9.7-2
cryptsetup 2.2.2-1
cups 2.3.1-1
cups-filters 1.27.0-1
curl 7.68.0-1
dav1d 0.5.2-1
db 5.3.28-5
dbus 1.12.16-5
dbus-glib 0.110-1
dconf 0.34.0-1
desktop-file-utils 0.24-1
device-mapper 2.02.186-5
dhcpcd 8.1.5-1
dialog 1:1.3_20191210-1
diffutils 3.7-3
discord 0.0.9-5
dkms 2.8.1-1
dmenu 4.9-1
dmraid 1.0.0.rc16.3-12
dnssec-anchors 20190629-2
docbook-xml 4.5-8
docbook-xsl 1.79.2-5
dosfstools 4.1-3
double-conversion 3.1.5-1
dpkg 1.19.7-2
dvgrab 3.5-8
e2fsprogs 1.45.5-1
efibootmgr 16-2
efivar 37-3
egl-wayland 1.1.4-2
eglexternalplatform 1.1-1
electron3-bin 3.1.13-1
electron4 4.2.12-2
electron6 6.1.7-1
enca 1.19-3
enchant 2.2.7-1
epson-inkjet-printer-escpr 1.7.5-1
etcher-bin 1.5.71-1
exiv2 0.27.2-1
exo 0.12.11-1
expat 2.2.9-3
faac 1.30-2
faad2 2.9.1-2
fakeroot 1.24-2
faudio 20.01-1
feedthebeast 1.4.17-2
feh 3.3-2
ffmpeg 1:4.2.2-2
fftw 3.3.8-2
figlet 2.2.5-3
file 5.38-1
filesystem 2019.10-2
findutils 4.7.0-2
flac 1.3.3-1
flameshot 0.6.0-3
fluidsynth 2.1.0-1
fontconfig 2:2.13.91+24+g75eadca-2
fontforge 20190801-2
freetype2 2.10.1-1
fribidi 1.0.8-1
fuse-common 3.9.0-1
fuse2 2.9.9-3
gawk 5.0.1-2
gc 8.0.4-3
gcab 1.4-1
gcc 9.2.0-4
gcc-libs 9.2.0-4
gconf 3.2.6+11+g07808097-5
gcr 3.34.0-1
gd 2.2.5-2
gdb 8.3.1-4
gdb-common 8.3.1-4
gdbm 1.18.1-3
gdk-pixbuf2 2.40.0-1
gedit 3.34.1-1
gegl 0.4.20-1
geoclue 2.5.5+6+gea52170-1
geocode-glib 3.26.1-1
gettext 0.20.1-3
ghostscript 9.50-2
giblib 1.2.4-7
giflib 5.2.1-1
gimp 2.10.14-1
git 2.25.0-1
gjs 2:1.58.4-1
glew 2.1.0-1
glib-networking 2.62.3-1
glib2 2.62.4-1
glibc 2.30-3
glibmm 2.62.0-1
glpk 4.65-2
glslang 8.13.3559-1
glu 9.0.1-1
gmp 6.1.2-3
gnome-autoar 0.2.4-1
gnome-bluetooth 3.34.0+1+g96295afd-1
gnome-desktop 1:3.34.2-1
gnome-mines 3.34.0-1
